,tsne1,tsne2,tsne3,class_encode,class,cluster
354,-13.145278,2.3946946,17.95463,2,Computers,1
355,-17.159794,3.6049018,12.455464,2,Computers,1
356,-15.475642,24.666563,9.734117,1,Beauty and Personal Care,0
357,-9.339382,11.560524,9.721721,1,Beauty and Personal Care,0
358,-9.754221,18.381027,12.43308,1,Beauty and Personal Care,0
359,6.050694,23.171848,20.010275,1,Beauty and Personal Care,0
360,-4.4762545,9.587027,9.727596,1,Beauty and Personal Care,0
361,-6.806415,17.938223,9.090453,1,Beauty and Personal Care,0
362,-8.134087,18.990187,21.701426,1,Beauty and Personal Care,0
363,-8.6348505,17.973036,6.233935,1,Beauty and Personal Care,0
364,-8.943409,3.8506188,17.188707,2,Computers,1
365,-5.3563623,16.126373,13.045947,1,Beauty and Personal Care,0
366,-6.55581,12.816068,13.792216,1,Beauty and Personal Care,0
367,-17.717611,3.0749137,28.207932,2,Computers,1
368,1.4104531,24.815693,11.116693,1,Beauty and Personal Care,0
369,-11.695264,-2.316449,13.273355,2,Computers,1
370,-15.807677,16.466328,17.122982,1,Beauty and Personal Care,0
371,-19.51237,5.1439557,23.542847,2,Computers,1
372,-3.4383485,27.677862,21.704206,1,Beauty and Personal Care,0
373,-10.440379,-0.6559066,9.854134,2,Computers,1
374,-4.1513376,24.505892,11.856646,1,Beauty and Personal Care,0
375,-12.575903,28.392666,20.19426,1,Beauty and Personal Care,0
376,1.5371534,30.205175,13.2486315,1,Beauty and Personal Care,0
377,-2.1409454,19.77617,12.929021,1,Beauty and Personal Care,0
378,-5.973591,20.65236,15.603988,1,Beauty and Personal Care,0
379,-21.523235,2.510507,14.367304,2,Computers,1
380,-7.645737,0.47655803,14.287348,2,Computers,1
381,-5.998075,21.85863,5.1820045,1,Beauty and Personal Care,0
382,-10.5040655,19.879602,21.266676,1,Beauty and Personal Care,0
383,-19.817175,-1.7766718,16.583057,2,Computers,1
384,2.2164495,29.140991,9.48724,1,Beauty and Personal Care,0
385,-3.5782766,14.779325,4.367247,1,Beauty and Personal Care,0
386,-1.1398112,15.633542,14.531055,1,Beauty and Personal Care,0
387,-2.2640522,13.837048,9.349142,1,Beauty and Personal Care,0
388,-10.149923,19.72877,24.220165,1,Beauty and Personal Care,0
389,-15.055327,19.62434,11.24094,1,Beauty and Personal Care,0
390,-14.106624,-1.0646505,28.11423,2,Computers,1
391,-14.2560425,8.2891445,17.38044,2,Computers,1
392,-1.324984,27.15368,21.246737,1,Beauty and Personal Care,0
393,-2.2088816,10.367394,5.0854077,1,Beauty and Personal Care,0
394,-15.575724,-3.6769745,15.145703,2,Computers,1
395,-5.5624223,19.058859,11.841946,1,Beauty and Personal Care,0
396,1.2912871,26.867706,12.221222,1,Beauty and Personal Care,0
397,-9.174193,8.784585,18.99767,2,Computers,1
398,-20.671328,2.3465967,24.811201,2,Computers,1
399,-8.6445,4.9684544,12.029945,2,Computers,1
400,-12.197728,-0.98540735,20.777292,2,Computers,1
401,-6.395883,27.009266,9.174445,1,Beauty and Personal Care,0
402,-5.3266196,12.263128,8.326716,1,Beauty and Personal Care,0
403,-7.5105405,-0.27724004,17.956951,2,Computers,1
404,-17.2799,25.166267,11.778083,1,Beauty and Personal Care,0
405,4.8045144,27.012972,13.001861,1,Beauty and Personal Care,0
406,-8.751582,24.818226,12.971578,1,Beauty and Personal Care,0
407,-9.311615,-4.205733,21.29672,2,Computers,1
408,-1.4303284,21.100658,18.367167,1,Beauty and Personal Care,0
409,-10.833788,27.475237,21.32265,1,Beauty and Personal Care,0
410,-12.833594,3.1926665,11.241297,2,Computers,1
411,-7.811853,20.725672,8.614887,1,Beauty and Personal Care,0
412,-1.2481139,29.987751,8.603151,1,Beauty and Personal Care,0
413,-11.016451,1.824511,13.838573,2,Computers,1
414,-16.877396,22.725302,11.702767,1,Beauty and Personal Care,0
415,-7.9309106,13.372812,4.381209,1,Beauty and Personal Care,0
416,-12.762929,22.42789,8.525649,1,Beauty and Personal Care,0
417,-8.485565,26.876915,13.887827,1,Beauty and Personal Care,0
418,2.2058647,20.672693,13.83362,1,Beauty and Personal Care,0
419,-14.208861,-0.25387904,11.87509,2,Computers,1
420,-17.905718,-0.34166542,25.028374,2,Computers,1
421,-22.546982,1.7746844,17.798988,2,Computers,1
422,-24.790545,17.471245,-2.3724174,1,Beauty and Personal Care,0
423,-14.63769,-1.4275764,-4.0702467,2,Computers,4
424,-5.3649707,-9.919085,-13.245773,1,Beauty and Personal Care,3
425,-16.953194,19.03555,-4.296499,2,Computers,0
426,-19.3953,0.1069759,-11.9661875,0,Baby Care,4
427,-33.12195,-1.3356762,8.298944,2,Computers,1
